2tvenom/cborencode                                                1.0.2      CBOR encoder for PHP
magento/module-inventory-shipping-admin-ui                        1.2.1-p2   N/A
magento/module-inventory-source-deduction-api                     1.2.1-p2   N/A
magento/module-inventory-source-selection                         1.2.0-p2   N/A
magento/module-inventory-source-selection-api                     1.4.0-p2   N/A
magento/module-inventory-swatches-frontend-ui                     1.0.0-p2   N/A
magento/module-inventory-visual-merchandiser                      1.1.1-p2   N/A
magento/module-inventory-wishlist                                 1.0.0-p2   N/A
magento/module-jwt-framework-adapter                              100.4.0    JWT Manager implementation based on jwt-framework
magento/module-layered-navigation                                 100.4.3    N/A
magento/module-login-as-customer                                  100.4.3    Allow for admin to enter a customer account
magento/module-login-as-customer-admin-ui                         100.4.3-p1
magento/module-login-as-customer-api                              100.4.2    Allow for admin to enter a customer account
magento/module-login-as-customer-assistance                       100.4.2-p1
magento/module-login-as-customer-frontend-ui                      100.4.3-p1
magento/module-login-as-customer-graph-ql                         100.4.0    Flexible login as a customer so a merchant or me...
magento/module-login-as-customer-log                              100.4.2-p1
magento/module-login-as-customer-page-cache                       100.4.3-p1
magento/module-login-as-customer-quote                            100.4.2-p1
magento/module-login-as-customer-sales                            100.4.3-p1
magento/module-marketplace                                        100.4.2    N/A
magento/module-media-content                                      100.4.2    Magento module provides the implementation for m...
magento/module-media-content-api                                  100.4.2    Magento module provides the API interfaces for m...
magento/module-media-content-catalog                              100.4.2    Magento module provides the implementation of Me...
magento/module-media-content-cms                                  100.4.2    Magento module provides the implementation of Me...
magento/module-media-content-synchronization                      100.4.2    Magento module provides implementation of the me...
magento/module-media-content-synchronization-api                  100.4.1    Magento module responsible for the media content...
magento/module-media-content-synchronization-catalog              100.4.1    Magento module provides the implementation of Me...
magento/module-media-content-synchronization-cms                  100.4.1    Magento module provides the implementation of Me...
magento/module-media-gallery                                      100.4.2-p1 Magento module responsible for media handling
magento/module-media-gallery-api                                  101.0.2    Magento module responsible for media gallery ass...
magento/module-media-gallery-catalog                              100.4.1    Magento module responsible for catalog gallery p...
magento/module-media-gallery-catalog-integration                  100.4.1-p1 Magento module responsible for extending catalog...
magento/module-media-gallery-catalog-ui                           100.4.1-p1 Magento module that implement category grid for ...
magento/module-media-gallery-cms-ui                               100.4.1-p1 Cms related UI elements in the magento media gal...
